label,text
4,"Came a few days ago for a lease, wasn't sure of size needed, so I guessed, three times! Finally got it right, but hey, the store didn't bat a eye lash when I returned the ones that didn't work, they just asked if I needed help picking out a replacement. \n\nSince my cat has been loosing weight, I could not get the size down, so after my attempts, finally got the small dog size and sure enough it worked. Now to get the cat used to it before we need it. \n\nThis store has everything you could need. They is even a new section by Martha Stewart, everything for you little pet. But her stuffs pricey, a lease from here collection, $19.99, boy that's steep! \n\nThe store is clean, neatly kept, well organized and they have grooming services. The employees were friendly and helpful, they looked like they enjoyed their jobs, and I would make this a regular place."
0,"I chose the 4 Queens for my visit to Las Vegas for several reasons, and I'll admit a good lot of those involved the low price of the room. (Other reasons include the proximity to the Neon Boneyard, the historic old-Vegas reputation of the hotel and the ratings on Trip Advisor.)\n\nHowever, the quality of my room was far below what I expected, or even dreamed was possible.\n\nI have very minimal requirements for hotel rooms; generally I only want them to be clean (not spotless, clean) and relatively safe. Non-smoking is also on the list.\n\nMy room at the 4 Queens was the filthiest hotel room I've ever stayed in.\n\nThere was hair (of the nether-region variety) in the bathtub. In fact, I don't think the shower or bathtub were touched by house cleaning before or during my stay. I don't like to make a fuss so wiped-everything down myself, and was too exhausted to switch rooms on top of that.\n\nEvery surface in the room felt greasy. I'm going to say it was covered in some Pledge-like substance (humor me) to make myself feel better.\n\nThere was an empty packet of Lucky Strike cigarettes behind the one side of the drapes and a lighter on the other when I arrived, and spotted quite easily. This was touted to be a non-smoking room. I left the empty cigarette pack and lighter for the duration of my stay to see of it would be eventually picked-up by the housekeeping staff. \n\nNope; no such luck.\n\nAdditionally, there were cigarette burns in the bedding (which was made of some, scratchy, ugly cheap fabric). Two of the three lamps in the room did not work. At all. The remote did not work. The air conditioner was very, very loud.\n\nI didn't realized that the Academy of Country Music awards we're being held in the city the weekend I stayed, and on the 15th floor, I could hear the awful cover bands from Fremont Street quite clearly. Granted, I should have realized the ACMs were the weekend of my stay, but the noise was a bit ridiculous.\nOh, and the folks staying in the room next door smoked weed every night of my stay. I dare say I could very well have gotten a contact-high the smell was so strong.\n\nLuckily, I take Ambien to sleep, and am dead to the world at night. Even with the Ambien, the world's rattliest, loudest air conditioner, still woke me up several times each night. This is in addition to being woken by the amazingly loud sex the reefer users next door were having. Otherwise there is absolutely no way I would have gotten any rest in this hellhole.\n\nUpdate! I initially wrote this review with one night of my stay remaining. Guess what? It got worse! The country band playing on the street on Saturday night was somehow (defying the laws of sound) louder, and played later into the evening. Once my Reefer Madness neighbors returned to their room at near 4am, they rented several porn movies and acted out scenes from them. This went on until about 8 am. I pounded on the wall twice, called the front desk, and nothing was done! I didn't sleep a wink despite the Ambien.\n\nI finally headed to the airport around 9 am, five hours early for my flight, because the hotel was just that damn bad, and I couldn't stand the filthiness and sleaze any longer.\n\nAbsolutely the worst hotel I've ever stayed in. The only thing that could have made it worse are bed bugs or a fire possibly breaking-out."
3,"I went here on the day of a wedding (I'm from out of town) for a last minute pedicure. I didn't really know where else to go, so I just stopped here on a whim (it was raining and this was the closest place that seemed to do nails). \n\nThe Salon Nuvo nail person is FANTASTIC (and wonderful to chat with). It's two full weeks later and it looks like my pedicure is brand new (and before you ask, I actually used the exact same brand/color nail polish as my prior crap pedicure). They don't have the cool massage chairs and they put you in a weird little intimate back room, HOWEVER I would totally give that up for a beautiful pedicure that lasts this long.  \n\nThought it was worth a review."
1,"Isn't it strange how the little things can sour your experience? I had a good time at Paris, the dealers were friendly, the staff was nice, the rooms were clean until I was checking out and the guy at the taxi line started yelling that my car was parked to far over. And he kept screaming and gesturing until I moved my car over until it was blocking traffic, which I was trying to avoid in the first place. I usually stay here but I won't be anymore. He was the guy on duty 2/17 at 12pm."
4,"Visit here several times a year. The food is always fresh and well stocked. They have sushi, and several seafood items for their dinner buffet. The staff is always efficient as well."
0,"I bought a voucher for this place from one of the deal sites. They accidentally crossed of my name on their list showing that my voucher was already used when it hadn't been. They then proceed to tell me that their verification method was fool proof (how can it be when nothing is scanned and everything is manually checked off by hand?) Then they tried to prove that the voucher I brought in was a photocopy reproduction (it wasn't, it was printer from a printer). All in all, a terrible experience, tried to make me out to be a thief. Why would I even go through all that trouble and reproduce a very \""real looking\"" fake voucher to save $10?!? At the end they realized their mistake. By then I had already 25 mins of my time and my order had already gotten cold. There were no apologies from the restaurant. The food was also very salty and the bubble tea was very chalky. They use powered coffeemate to cream their teas which has a huge taste difference from actual condensed or fresh milk. With all the Chinese food options in that area, I know I will never go back to this place."
4,"Like others, I'm writing a post-mortem tribute to one of my favorite restaurants in the world.\n\nMy husband and I first went to Rosemary's on our honeymoon in 2001. We've been there on every trip to LV since, and we also went to the second restaurant they had at the Rio for a while. Every  visit was a delight.\n\nMichael and Wendy, as someone who recently closed a restaurant (and is in the process of selling a second one) my heart goes out to you.  Know that you are missed, and that  I (and many many others, I'm sure) am monitoring the internet to see what you have in store for us next.\n\n~~A fan from Texas"
0,My mom and I just ate lunch there and I would never go back. We both live in the area and were excited to try it. The service was terrible. It took us forever to get our food and when it did come my pad thai was ok not great and my moms veggie torta was also mediocre. The main reason I will never go back is when we ordered desert our server verbally told us the menu and we ordered the cheesecake. When it came it was covered in peanuts after I specifically told the server I was allergic when I ordered the pad thai peanut free. I'm leaving on a flight and didn't have time for them to make me something else. So overall mediocre food and terrible service.
1,Only reason they get two stars is because their pies are great. Terrible service and don't have enough people working so it takes half an hour to get anyone to even acknowledge that you are waiting.
2,"The place has a nice atmosphere, and they've made an effort to make this basement location feel more lively, colourful and 'south americanish'. The service is really nice and friendly as well, and I'm pretty sure most of the waiters speak spanish which is a good sign when you're eating in a south american place!\nSo why only 3 stars? I love mexican/southern food so maybe I'm a slightly harsh critic, but I just wasn't really taken with the menu. \nEverything we ordered was a bit too overflowing with cheese and creme fraiche so the vibrant flavours were drowned out. The menu isn't really expensive, \u00a315 for 2 courses, but considering the fierce competition with set menus in Edina, it's probably a touch high for such simple food (plain rice, beans, chicken, flour tortillas and side salad)"
